Instruction	ControlFlow	StakBehaviourPop	StackBehaviourPush
nop	Next	Pop0	Push0
break	Break	Pop0	Push0
ldarg.0	Next	Pop0	Push1
ldarg.1	Next	Pop0	Push1
ldarg.2	Next	Pop0	Push1
ldarg.3	Next	Pop0	Push1
ldloc.0	Next	Pop0	Push1
ldloc.1	Next	Pop0	Push1
ldloc.2	Next	Pop0	Push1
ldloc.3	Next	Pop0	Push1
stloc.0	Next	Pop1	Push0
stloc.1	Next	Pop1	Push0
stloc.2	Next	Pop1	Push0
stloc.3	Next	Pop1	Push0
ldarg.s	Next	Pop0	Push1
ldarga.s	Next	Pop0	Pushi
starg.s	Next	Pop1	Push0
ldloc.s	Next	Pop0	Push1
ldloca.s	Next	Pop0	Pushi
stloc.s	Next	Pop1	Push0
ldnull	Next	Pop0	Pushref
ldc.i4.m1	Next	Pop0	Pushi
ldc.i4.0	Next	Pop0	Pushi
ldc.i4.1	Next	Pop0	Pushi
ldc.i4.2	Next	Pop0	Pushi
ldc.i4.3	Next	Pop0	Pushi
ldc.i4.4	Next	Pop0	Pushi
ldc.i4.5	Next	Pop0	Pushi
ldc.i4.6	Next	Pop0	Pushi
ldc.i4.7	Next	Pop0	Pushi
ldc.i4.8	Next	Pop0	Pushi
ldc.i4.s	Next	Pop0	Pushi
ldc.i4	Next	Pop0	Pushi
ldc.i8	Next	Pop0	Pushi8
ldc.r4	Next	Pop0	Pushr4
ldc.r8	Next	Pop0	Pushr8
dup	Next	Pop1	Push1_push1
pop	Next	Pop1	Push0
jmp	Call	Pop0	Push0
call	Call	Varpop	Varpush
calli	Call	Varpop	Varpush
ret	Return	Varpop	Push0
br.s	Branch	Pop0	Push0
brfalse.s	Cond_Branch	Popi	Push0
brtrue.s	Cond_Branch	Popi	Push0
beq.s	Cond_Branch	Pop1_pop1	Push0
bge.s	Cond_Branch	Pop1_pop1	Push0
bgt.s	Cond_Branch	Pop1_pop1	Push0
ble.s	Cond_Branch	Pop1_pop1	Push0
blt.s	Cond_Branch	Pop1_pop1	Push0
bne.un.s	Cond_Branch	Pop1_pop1	Push0
bge.un.s	Cond_Branch	Pop1_pop1	Push0
bgt.un.s	Cond_Branch	Pop1_pop1	Push0
ble.un.s	Cond_Branch	Pop1_pop1	Push0
blt.un.s	Cond_Branch	Pop1_pop1	Push0
br	Branch	Pop0	Push0
brfalse	Cond_Branch	Popi	Push0
brtrue	Cond_Branch	Popi	Push0
beq	Cond_Branch	Pop1_pop1	Push0
bge	Cond_Branch	Pop1_pop1	Push0
